"SN","Train_No","Station_Code","1A","2A","3A","SL","Station_Name","Route_Number","Arrival_time","Departure_Time","Distance"
"1","107","SWV","100","100","100","100","SAWANTWADI R","1","00:00:00","10:25:00","0"
"2","107","THVM","260","228","196","164","THIVIM","1","11:06:00","11:08:00","32"
"3","107","KRMI","345","296","247","198","KARMALI","1","11:28:00","11:30:00","49"
"4","107","MAO","490","412","334","256","MADGOAN JN.","1","12:10:00","00:00:00","78"
"1","108","MAO","100","100","100","100","MADGOAN JN.","1","00:00:00","20:30:00","0"
"2","108","KRMI","265","232","199","166","KARMALI","1","21:04:00","21:06:00","33"
"3","108","THVM","355","304","253","202","THIVIM","1","21:26:00","21:28:00","51"
"4","108","SWV","515","432","349","266","SAWANTWADI R","1","22:25:00","00:00:00","83"
"1","128","MAO","100","100","100","100","MADGOAN JN.","1","19:40:00","19:40:00","0"
"2","128","KRMI","265","232","199","166","KARMALI","1","20:18:00","20:20:00","33"
"3","128","THVM","355","304","253","202","THIVIM","1","20:40:00","20:42:00","51"
"4","128","SWV","515","432","349","266","SAWANTWADI R","1","21:16:00","21:18:00","83"
"5","128","KUDL","620","516","412","308","KUDAL","1","21:38:00","21:40:00","104"
"6","128","SNDD","670","556","442","328","SINDHU DURG","1","21:54:00","21:56:00","114"
"7","128","KKW","760","628","496","364","KANKAVALI","1","22:18:00","22:20:00","132"
"8","128","VBW","915","752","589","426","VAIBHAVWADI","1","22:40:00","22:42:00","163"
"9","128","RAJP","995","816","637","458","RAJAPUR ROAD","1","22:56:00","22:58:00","179"
"10","128","RN","1320","1076","832","588","RATNAGIRI","1","23:52:00","23:57:00","244"
"11","128","SGR","1500","1220","940","660","SANGMESHWAR","1","00:34:00","00:36:00","280"
"12","128","CHI","1710","1388","1066","744","CHIPLUN","1","01:10:00","01:12:00","322"
"13","128","KHED","1860","1508","1156","804","KHED","1","01:52:00","01:54:00","352"
"14","128","MNI","2210","1788","1366","944","MANGAON","1","04:00:00","04:02:00","422"
"15","128","ROHA","2375","1920","1465","1010","ROHA","1","04:55:00","05:00:00","455"
"16","128","PNVL","2760","2228","1696","1164","PANVEL","1","06:20:00","06:25:00","532"
"17","128","KJT","2900","2340","1780","1220","KARJAT","1","07:40:00","07:45:00","560"
"18","128","LNL","3040","2452","1864","1276","LONAVLA","1","08:30:00","08:33:00","588"
"19","128","PUNE","3360","2708","2056","1404","PUNE JN.","1","10:30:00","10:45:00","652"
"20","128","STR","4085","3288","2491","1694","SATARA","1","13:42:00","13:45:00","797"
"21","128","MRJ","4755","3824","2893","1962","MIRAJ JN.","1","16:25:00","16:35:00","931"
